int	int	float	int	float	float	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int
0	1	100	0	1.5	50	50	100	100	150	150	200	200	250	250	300	300	350	350	400	400	450	450	500	500	550	550	600	600	650	650
1	2	93	10	2	85	85	170	170	255	255	340	340	425	425	510	510	595	595	680	680	765	765	850	850	935	935	1020	1020	1105	1105
2	3	86	10	3	144.5	144	289	289	433.5	433	578	578	722.5	722	867	867	1011.5	1011	1156	1156	1300.5	1300	1445	1445	1589.5	1589	1734	1734	1878.5	1878
3	4	79	10	5	245.65	245	491.3	491	736.95	736	982.6	982	1228.25	1228	1473.9	1473	1719.55	1719	1965.2	1965	2210.85	2210	2456.5	2456	2702.15	2702	2947.8	2947	3193.45	3193
4	5	72	10	7	417.605	417	835.21	835	1252.815	1252	1670.42	1670	2088.025	2088	2505.63	2505	2923.235	2923	3340.84	3340	3758.445	3758	4176.05	4176	4593.655	4593	5011.26	5011	5428.865	5428
5	6	65	10	10	709.9285	709	1419.857	1419	2129.7855	2129	2839.714	2839	3549.6425	3549	4259.571	4259	4969.4995	4969	5679.428	5679	6389.3565	6389	7099.285	7099	7809.2135	7809	8519.142	8519	9229.0705	9229
6	7	58	10	15	1206.87845	1206	2413.7569	2413	3620.63535	3620	4827.5138	4827	6034.39225	6034	7241.2707	7241	8448.14915	8448	9655.0276	9655	10861.90605	10861	12068.7845	12068	13275.66295	13275	14482.5414	14482	15689.41985	15689
7	8	51	10	20	2051.693365	2051	4103.38673	4103	6155.080095	6155	8206.77346	8206	10258.46683	10258	12310.16019	12310	14361.85356	14361	16413.54692	16413	18465.24029	18465	20516.93365	20516	22568.62702	22568	24620.32038	24620	26672.01375	26672
8	9	44	10	25	3487.878721	3487	6975.757441	6975	10463.63616	10463	13951.51488	13951	17439.3936	17439	20927.27232	20927	24415.15104	24415	27903.02976	27903	31390.90848	31390	34878.78721	34878	38366.66593	38366	41854.54465	41854	45342.42337	45342
9	10	37	10	30	5929.393825	5929	11858.78765	11858	17788.18147	17788	23717.5753	23717	29646.96912	29646	35576.36295	35576	41505.75677	41505	47435.1506	47435	53364.54442	53364	59293.93825	59293	65223.33207	65223	71152.7259	71152	77082.11972	77082
10	11	30	10	40	10079.9695	10079	20159.939	20159	30239.90851	30239	40319.87801	40319	50399.84751	50399	60479.81701	60479	70559.78652	70559	80639.75602	80639	90719.72552	90719	100799.695	100799	110879.6645	110879	120959.634	120959	131039.6035	131039
11	12	23	10	50	17135.94815	17135	34271.89631	34271	51407.84446	51407	68543.79262	68543	85679.74077	85679	102815.6889	102815	119951.6371	119951	137087.5852	137087	154223.5334	154223	171359.4815	171359	188495.4297	188495	205631.3778	205631	222767.326	222767
12	13	16	10	60	29131.11186	29131	58262.22372	58262	87393.33558	87393	116524.4474	116524	145655.5593	145655	174786.6712	174786	203917.783	203917	233048.8949	233048	262180.0068	262180	291311.1186	291311	320442.2305	320442	349573.3423	349573	378704.4542	378704
13	14	9	10	80	49522.89016	49522	99045.78033	99045	148568.6705	148568	198091.5607	198091	247614.4508	247614	297137.341	297137	346660.2312	346660	396183.1213	396183	445706.0115	445706	495228.9016	495228	544751.7918	544751	594274.682	594274	643797.5721	643797
14	15	2	10	100	84188.91328	84188	168377.8266	168377	252566.7398	252566	336755.6531	336755	420944.5664	420944	505133.4797	505133	589322.393	589322	673511.3062	673511	757700.2195	757700	841889.1328	841889	926078.0461	926078	1010266.959	1010266	1094455.873	1094455
