int	float	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int	float	int
0	250	250	500	500	750	750	1000	1000	1250	1250	1500	1500	1750	1750	2000	2000	2250	2250	2500	2500	2750	2750	3000	3000	3250	3250
1	425	425	850	850	1275	1275	1700	1700	2125	2125	2550	2550	2975	2975	3400	3400	3825	3825	4250	4250	4675	4675	5100	5100	5525	5525
2	722.5	722	1445	1445	2167.5	2167	2890	2890	3612.5	3612	4335	4335	5057.5	5057	5780	5780	6502.5	6502	7225	7225	7947.5	7947	8670	8670	9392.5	9392
3	1228.25	1228	2456.5	2456	3684.75	3684	4913	4913	6141.25	6141	7369.5	7369	8597.75	8597	9826	9826	11054.25	11054	12282.5	12282	13510.75	13510	14739	14739	15967.25	15967
4	2088.025	2088	4176.05	4176	6264.075	6264	8352.1	8352	10440.125	10440	12528.15	12528	14616.175	14616	16704.2	16704	18792.225	18792	20880.25	20880	22968.275	22968	25056.3	25056	27144.325	27144
5	3549.6425	3549	7099.285	7099	10648.9275	10648	14198.57	14198	17748.2125	17748	21297.855	21297	24847.4975	24847	28397.14	28397	31946.7825	31946	35496.425	35496	39046.0675	39046	42595.71	42595	46145.3525	46145
6	6034.39225	6034	12068.7845	12068	18103.17675	18103	24137.569	24137	30171.96125	30171	36206.3535	36206	42240.74575	42240	48275.138	48275	54309.53025	54309	60343.9225	60343	66378.31475	66378	72412.707	72412	78447.09925	78447
7	10258.46683	10258	20516.93365	20516	30775.40048	30775	41033.8673	41033	51292.33413	51292	61550.80095	61550	71809.26778	71809	82067.7346	82067	92326.20143	92326	102584.6683	102584	112843.1351	112843	123101.6019	123101	133360.0687	133360
8	17439.3936	17439	34878.78721	34878	52318.18081	52318	69757.57441	69757	87196.96801	87196	104636.3616	104636	122075.7552	122075	139515.1488	139515	156954.5424	156954	174393.936	174393	191833.3296	191833	209272.7232	209272	226712.1168	226712
9	29646.96912	29646	59293.93825	59293	88940.90737	88940	118587.8765	118587	148234.8456	148234	177881.8147	177881	207528.7839	207528	237175.753	237175	266822.7221	266822	296469.6912	296469	326116.6604	326116	355763.6295	355763	385410.5986	385410
10	50399.84751	50399	100799.695	100799	151199.5425	151199	201599.39	201599	251999.2376	251999	302399.0851	302399	352798.9326	352798	403198.7801	403198	453598.6276	453598	503998.4751	503998	554398.3226	554398	604798.1701	604798	655198.0176	655198
11	85679.74077	85679	171359.4815	171359	257039.2223	257039	342718.9631	342718	428398.7038	428398	514078.4446	514078	599758.1854	599758	685437.9262	685437	771117.6669	771117	856797.4077	856797	942477.1485	942477	1028156.889	1028156	1113836.63	1113836
12	145655.5593	145655	291311.1186	291311	436966.6779	436966	582622.2372	582622	728277.7965	728277	873933.3558	873933	1019588.915	1019588	1165244.474	1165244	1310900.034	1310900	1456555.593	1456555	1602211.152	1602211	1747866.712	1747866	1893522.271	1893522
13	247614.4508	247614	495228.9016	495228	742843.3525	742843	990457.8033	990457	1238072.254	1238072	1485686.705	1485686	1733301.156	1733301	1980915.607	1980915	2228530.057	2228530	2476144.508	2476144	2723758.959	2723758	2971373.41	2971373	3218987.861	3218987
14	420944.5664	420944	841889.1328	841889	1262833.699	1262833	1683778.266	1683778	2104722.832	2104722	2525667.398	2525667	2946611.965	2946611	3367556.531	3367556	3788501.098	3788501	4209445.664	4209445	4630390.23	4630390	5051334.797	5051334	5472279.363	5472279
15	715605.7629	715605	1431211.526	1431211	2146817.289	2146817	2862423.052	2862423	3578028.814	3578028	4293634.577	4293634	5009240.34	5009240	5724846.103	5724846	6440451.866	6440451	7156057.629	7156057	7871663.392	7871663	8587269.155	8587269	9302874.917	9302874
