인덱스	속성	이름	등급(성)	사용가능 레벨	작동 시간(초)	쿨 타임(턴)	스킬 공격력	타격 횟수	효과	적용 확률(%)	데미지	적용 턴 수	피격자 데미지 감소(%)	공격자의 수치 변화	다음 단계	필요 학습지 양	필요 속성 학습지 양	공격력	방어력	체력	이동 속도	공격 속도	크리티컬 확률(%)	이펙트
string	string	string	int	int	float	int	float	int	string	float	float	int	float	float	string	int	int	float	float	float	float	float	float	string
Skill001	Pure00	기본 공격	★	1	0.6	0	10	1	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	null
Skill002	Pure01	신성한 빛	★		1.1	0	30	1	null	null	null	null	null	null	Skill003	10	2	5	5	30	0	0	0	Magic FX 06
Skill003	Pure01	신성한 빛	★★		1.1	0	60	1	null	null	null	null	null	null	Skill004	20	4	10	10	60	0	0	0	Magic FX 06
Skill004	Pure01	신성한 빛	★★★		1.1	0	120	1	null	null	null	null	null	null	Skill005	40	8	20	20	120	0	0	0	Magic FX 06
Skill005	Pure01	신성한 빛	★★★★		1.1	1	240	1	null	null	null	null	null	null	Skill006	80	16	40	40	240	0	0	0	Magic FX 06
Skill006	Pure01	신성한 빛	★★★★★		1.1	1	480	1	null	null	null	null	null	null	null	null	null	80	80	480	0	0	0	Magic FX 06
Skill007	Pure02	별사탕	★		1.1	1	14	3	null	null	null	null	null	null	Skill008	20	4	0	0	0	5	-0.02	0.2	Neon FX 19
Skill008	Pure02	별사탕	★★		1.1	1	28	3	null	null	null	null	null	null	Skill009	40	8	0	0	0	10	-0.04	0.4	Neon FX 19
Skill009	Pure02	별사탕	★★★		1.1	1	56	3	null	null	null	null	null	null	Skill010	80	16	0	0	0	20	-0.08	0.8	Neon FX 19
Skill010	Pure02	별사탕	★★★★		1.1	2	112	3	null	null	null	null	null	null	Skill011	160	32	0	0	0	40	-0.16	1.6	Neon FX 19
Skill011	Pure02	별사탕	★★★★★		1.1	2	224	3	null	null	null	null	null	null	null	null	null	0	0	0	80	-0.32	3.2	Neon FX 19
Skill012	Pure03	할퀴기	★		1.5	1	30	2	null	null	null	null	null	null	Skill013	40	8	10	10	60	0	0	0	Fire FX 40
Skill013	Pure03	할퀴기	★★		1.5	1	60	2	null	null	null	null	null	null	Skill014	80	16	20	20	120	0	0	0	Fire FX 40
Skill014	Pure03	할퀴기	★★★		1.5	1	120	2	null	null	null	null	null	null	Skill015	160	32	40	40	240	0	0	0	Fire FX 40
Skill015	Pure03	할퀴기	★★★★		1.5	2	240	2	null	null	null	null	null	null	Skill016	240	64	80	80	480	0	0	0	Fire FX 40
Skill016	Pure03	할퀴기	★★★★★		1.5	2	480	2	null	null	null	null	null	null	null	null	null	160	160	960	0	0	0	Fire FX 40
Skill017	Pure04	토끼의 축복	★		1.6	2	0	1	회복	null	null	null	null	전체 HP의 3% 만큼 회복	Skill018	60	12	0	0	0	10	-0.04	0.4	Neon Vfx 57
Skill018	Pure04	토끼의 축복	★★		1.6	2	0	1	회복	null	null	null	null	전체 HP의 6% 만큼 회복	Skill019	120	24	0	0	0	20	-0.08	0.8	Neon Vfx 57
Skill019	Pure04	토끼의 축복	★★★		1.6	2	0	1	회복	null	null	null	null	전체 HP의 9% 만큼 회복	Skill020	240	48	0	0	0	40	-0.16	1.6	Neon Vfx 57
Skill020	Pure04	토끼의 축복	★★★★		1.6	3	0	1	회복	null	null	null	null	전체 HP의 12% 만큼 회복	Skill021	480	96	0	0	0	80	-0.32	3.2	Neon Vfx 57
Skill021	Pure04	토끼의 축복	★★★★★		1.6	3	0	1	회복	null	null	null	null	전체 HP의 15% 만큼 회복	null	null	null	0	0	0	160	-0.64	6.4	Neon Vfx 57
Skill022	Pure05	흡수	★		3.45	3	8	12	회복	null	null	null	null	적용 데미지 만큼 HP 회복	Skill023	100	20	20	20	120	20	-0.08	0.8	Magic FX 09
